Number,Column1,Group1,Group2,Group3,Group4,Group5,Group6,
7.4.1.2.1,,Work to Existing Buildings,Facade Retention,Facade Retention,Periodic Technical Inspections of Support Structures,,Periodic Technical Inspections of Support Structures,
7.4.1.3,,Work to Existing Buildings,Facade Retention,Facade Retention,Removing Support Structures,,,
7.4.1.3.1,,Work to Existing Buildings,Facade Retention,Facade Retention,Removing Support Structures,,Removing Support Structures,
7.5,,Work to Existing Buildings,Cleaning Existing Surfaces,,,,,
7.5.1,,Work to Existing Buildings,Cleaning Existing Surfaces,Cleaning,,,,
7.5.1.1,,Work to Existing Buildings,Cleaning Existing Surfaces,Cleaning,Cleaning Existing Services details,,,
7.5.1.1.1,,Work to Existing Buildings,Cleaning Existing Surfaces,Cleaning,Cleaning Existing Services details,,Cleaning Existing Services details,
7.5.2,,Work to Existing Buildings,Cleaning Existing Surfaces,Protective Coatings,,,,
7.5.2.1,,Work to Existing Buildings,Cleaning Existing Surfaces,Protective Coatings,Protective Coatings to Existing Surfaces,,,
7.5.2.1.1,,Work to Existing Buildings,Cleaning Existing Surfaces,Protective Coatings,Protective Coatings to Existing Surfaces,,Protective Coatings to Existing Surfaces,
7.6,,Work to Existing Buildings,Renovation Works,,,,,
7.6.1,,Work to Existing Buildings,Renovation Works,Masonry Repairs,,,,
7.6.1.1,,Work to Existing Buildings,Renovation Works,Masonry Repairs,Masonry Repairs Details,,,
7.6.1.1.1,,Work to Existing Buildings,Renovation Works,Masonry Repairs,Masonry Repairs Details,,Masonry Repairs Details,
7.6.2,,Work to Existing Buildings,Renovation Works,Concrete Repairs,,,,
7.6.2.1,,Work to Existing Buildings,Renovation Works,Concrete Repairs,Concrete Repairs Details,,,
7.6.2.1.1,,Work to Existing Buildings,Renovation Works,Concrete Repairs,Concrete Repairs Details,,Concrete Repairs Details,
7.6.3,,Work to Existing Buildings,Renovation Works,Metal Repairs,,,,
7.6.3.1,,Work to Existing Buildings,Renovation Works,Metal Repairs,Metal Repairs Details,,,
7.6.3.1.1,,Work to Existing Buildings,Renovation Works,Metal Repairs,Metal Repairs Details,,Metal Repairs Details,
7.6.4,,Work to Existing Buildings,Renovation Works,Timber Repairs,,,,
7.6.4.1,,Work to Existing Buildings,Renovation Works,Timber Repairs,Timber Repairs Details,,,
7.6.4.1.1,,Work to Existing Buildings,Renovation Works,Timber Repairs,Timber Repairs Details,,Timber Repairs Details,
7.6.5,,Work to Existing Buildings,Renovation Works,Pastic Repairs,,,,
7.6.5.1,,Work to Existing Buildings,Renovation Works,Pastic Repairs,Pastic Repairs Details,,,
7.6.5.1.1,,Work to Existing Buildings,Renovation Works,Pastic Repairs,Pastic Repairs Details,,Pastic Repairs Details,
8,,External Works,,,,,,
8.1,,External Works,Site Preparation Works,,,,,
8.1.1,,External Works,Site Preparation Works,Site Clearance,,,,
8.1.1.1,,External Works,Site Preparation Works,Site Clearance,Clearing Vegetation,,,
8.1.1.1.1,,External Works,Site Preparation Works,Site Clearance,Clearing Vegetation,,Clearing Vegetation,
8.1.1.2,,External Works,Site Preparation Works,Site Clearance,Taking Down Trees,,,
8.1.1.2.1,,External Works,Site Preparation Works,Site Clearance,Taking Down Trees,,Taking Down Trees,
8.1.1.3,,External Works,Site Preparation Works,Site Clearance,Removing Tree Stumps and Roots,,,
8.1.1.3.1,,External Works,Site Preparation Works,Site Clearance,Removing Tree Stumps and Roots,,Removing Tree Stumps and Roots,
8.1.1.4,,External Works,Site Preparation Works,Site Clearance,Tree Protection,,,
8.1.1.4.1,,External Works,Site Preparation Works,Site Clearance,Tree Protection,,Tree Protection,
8.1.1.5,,External Works,Site Preparation Works,Site Clearance,Minor Demolition Works,,,
8.1.1.5.1,,External Works,Site Preparation Works,Site Clearance,Minor Demolition Works,,Minor Demolition Works,
8.1.1.6,,External Works,Site Preparation Works,Site Clearance,Applying Herbicides,,,
8.1.1.6.1,,External Works,Site Preparation Works,Site Clearance,Applying Herbicides,,Applying Herbicides,
8.1.2,,External Works,Site Preparation Works,Preparatory Groundworks,,,,
8.1.2.1,,External Works,Site Preparation Works,Preparatory Groundworks,Forming New Site Contours and Adjusting Existing Site Levels,,,
8.1.2.1.1,,External Works,Site Preparation Works,Preparatory Groundworks,Forming New Site Contours and Adjusting Existing Site Levels,,Forming New Site Contours and Adjusting Existing Site Levels,
8.1.2.2,,External Works,Site Preparation Works,Preparatory Groundworks,Breaking out existing Structures,,,
8.1.2.2.1,,External Works,Site Preparation Works,Preparatory Groundworks,Breaking out existing Structures,,Breaking out existing Structures,
8.1.2.3,,External Works,Site Preparation Works,Preparatory Groundworks,Breaking out Existing Hard Pavings,,,
8.1.2.3.1,,External Works,Site Preparation Works,Preparatory Groundworks,Breaking out Existing Hard Pavings,,Breaking out Existing Hard Pavings,
8.1.2.4,,External Works,Site Preparation Works,Preparatory Groundworks,Grubbing Up Old Drainage Pipelines,,,
8.1.2.4.1,,External Works,Site Preparation Works,Preparatory Groundworks,Grubbing Up Old Drainage Pipelines,,Grubbing Up Old Drainage Pipelines,
8.1.2.5,,External Works,Site Preparation Works,Preparatory Groundworks,Grubbing Up Old Manholes,,,
8.1.2.5.1,,External Works,Site Preparation Works,Preparatory Groundworks,Grubbing Up Old Manholes,,Grubbing Up Old Manholes,
8.1.2.6,,External Works,Site Preparation Works,Preparatory Groundworks,Filling Disused Manholes,,,
8.1.2.6.1,,External Works,Site Preparation Works,Preparatory Groundworks,Filling Disused Manholes,,Filling Disused Manholes,
8.1.2.7,,External Works,Site Preparation Works,Preparatory Groundworks,Removing Underground Storage Tanks,,,
8.1.2.7.1,,External Works,Site Preparation Works,Preparatory Groundworks,Removing Underground Storage Tanks,,Removing Underground Storage Tanks,
8.2,,External Works,Roads Paths Pavings and Surfacing,,,,,
8.2.1,,External Works,Roads Paths Pavings and Surfacing,Roads Paths and Pavings,,,,
8.2.1.1,,External Works,Roads Paths Pavings and Surfacing,Roads Paths and Pavings,Roads,,,
8.2.1.1.1,,External Works,Roads Paths Pavings and Surfacing,Roads Paths and Pavings,Roads,,Roads,
8.2.1.10,,External Works,Roads Paths Pavings and Surfacing,Roads Paths and Pavings,Vehicle Protection Barriers,,,
8.2.1.10.1,,External Works,Roads Paths Pavings and Surfacing,Roads Paths and Pavings,Vehicle Protection Barriers,,Vehicle Protection Barriers,
8.2.1.11,,External Works,Roads Paths Pavings and Surfacing,Roads Paths and Pavings,Bumpers,,,
8.2.1.11.1,,External Works,Roads Paths Pavings and Surfacing,Roads Paths and Pavings,Bumpers,,Bumpers,
8.2.1.12,,External Works,Roads Paths Pavings and Surfacing,Roads Paths and Pavings,Pavement Markings,,,
8.2.1.12.1,,External Works,Roads Paths Pavings and Surfacing,Roads Paths and Pavings,Pavement Markings,,Pavement Markings,
8.2.1.13,,External Works,Roads Paths Pavings and Surfacing,Roads Paths and Pavings,Repairs to Existing Roads Paths and Pavings,,,
8.2.1.13.1,,External Works,Roads Paths Pavings and Surfacing,Roads Paths and Pavings,Repairs to Existing Roads Paths and Pavings,,Repairs to Existing Roads Paths and Pavings,
8.2.1.2,,External Works,Roads Paths Pavings and Surfacing,Roads Paths and Pavings,Paths,,,
8.2.1.2.1,,External Works,Roads Paths Pavings and Surfacing,Roads Paths and Pavings,Paths,,Paths,
8.2.1.3,,External Works,Roads Paths Pavings and Surfacing,Roads Paths and Pavings,Paved Areas and Hardstandings,,,
8.2.1.3.1,,External Works,Roads Paths Pavings and Surfacing,Roads Paths and Pavings,Paved Areas and Hardstandings,,Paved Areas and Hardstandings,
8.2.1.4,,External Works,Roads Paths Pavings and Surfacing,Roads Paths and Pavings,Roundabouts,,,
8.2.1.4.1,,External Works,Roads Paths Pavings and Surfacing,Roads Paths and Pavings,Roundabouts,,Roundabouts,
8.2.1.5,,External Works,Roads Paths Pavings and Surfacing,Roads Paths and Pavings,Road Crossings,,,
8.2.1.5.1,,External Works,Roads Paths Pavings and Surfacing,Roads Paths and Pavings,Road Crossings,,Road Crossings,
8.2.1.6,,External Works,Roads Paths Pavings and Surfacing,Roads Paths and Pavings,Steps,,,
8.2.1.6.1,,External Works,Roads Paths Pavings and Surfacing,Roads Paths and Pavings,Steps,,Steps,
8.2.1.7,,External Works,Roads Paths Pavings and Surfacing,Roads Paths and Pavings,Ramps,,,
8.2.1.7.1,,External Works,Roads Paths Pavings and Surfacing,Roads Paths and Pavings,Ramps,,Ramps,
8.2.1.8,,External Works,Roads Paths Pavings and Surfacing,Roads Paths and Pavings,traffic Calming Accessories,,,
8.2.1.8.1,,External Works,Roads Paths Pavings and Surfacing,Roads Paths and Pavings,traffic Calming Accessories,,traffic Calming Accessories,
8.2.1.9,,External Works,Roads Paths Pavings and Surfacing,Roads Paths and Pavings,Tree Grilles,,,
8.2.1.9.1,,External Works,Roads Paths Pavings and Surfacing,Roads Paths and Pavings,Tree Grilles,,Tree Grilles,
8.2.2,,External Works,Roads Paths Pavings and Surfacing,Special Surfacings and Pavings,,,,
8.2.2.1,,External Works,Roads Paths Pavings and Surfacing,Special Surfacings and Pavings,Special Surfacings and Pavings,,,
8.2.2.1.1,,External Works,Roads Paths Pavings and Surfacing,Special Surfacings and Pavings,Special Surfacings and Pavings,,Special Surfacings and Pavings,
8.3,,External Works,Soft Landscaping planting and Irrigation Systems,,,,,
8.3.1,,External Works,Soft Landscaping planting and Irrigation Systems,Seeding and Turfing,,,,
8.3.1.1,,External Works,Soft Landscaping planting and Irrigation Systems,Seeding and Turfing,Grassed Areas,,,
8.3.1.1.1,,External Works,Soft Landscaping planting and Irrigation Systems,Seeding and Turfing,Grassed Areas,,Grassed Areas,
8.3.1.2,,External Works,Soft Landscaping planting and Irrigation Systems,Seeding and Turfing,Reinforced Grass Proprietary Systems,,,
8.3.1.2.1,,External Works,Soft Landscaping planting and Irrigation Systems,Seeding and Turfing,Reinforced Grass Proprietary Systems,,Reinforced Grass Proprietary Systems,
8.3.1.3,,External Works,Soft Landscaping planting and Irrigation Systems,Seeding and Turfing,Marking Out of Grass Sports Pitches,,,
8.3.1.3.1,,External Works,Soft Landscaping planting and Irrigation Systems,Seeding and Turfing,Marking Out of Grass Sports Pitches,,Marking Out of Grass Sports Pitches,
8.3.1.4,,External Works,Soft Landscaping planting and Irrigation Systems,Seeding and Turfing,Work to Existing Grass Areas,,,
8.3.1.4.1,,External Works,Soft Landscaping planting and Irrigation Systems,Seeding and Turfing,Work to Existing Grass Areas,,Work to Existing Grass Areas,
8.3.1.5,,External Works,Soft Landscaping planting and Irrigation Systems,Seeding and Turfing,Maintenance of Grass Areas,,,
8.3.1.5.1,,External Works,Soft Landscaping planting and Irrigation Systems,Seeding and Turfing,Maintenance of Grass Areas,,Maintenance of Grass Areas,
8.3.2,,External Works,Soft Landscaping planting and Irrigation Systems,External Planting,,,,
8.3.2.1,,External Works,Soft Landscaping planting and Irrigation Systems,External Planting,Planting,,,
8.3.2.1.1,,External Works,Soft Landscaping planting and Irrigation Systems,External Planting,Planting,,Planting,
8.3.2.2,,External Works,Soft Landscaping planting and Irrigation Systems,External Planting,Planting Reed Beds,,,
8.3.2.2.1,,External Works,Soft Landscaping planting and Irrigation Systems,External Planting,Planting Reed Beds,,Planting Reed Beds,
8.3.2.3,,External Works,Soft Landscaping planting and Irrigation Systems,External Planting,Hedges,,,
8.3.2.3.1,,External Works,Soft Landscaping planting and Irrigation Systems,External Planting,Hedges,,Hedges,
8.3.2.4,,External Works,Soft Landscaping planting and Irrigation Systems,External Planting,Trees,,,
8.3.2.4.1,,External Works,Soft Landscaping planting and Irrigation Systems,External Planting,Trees,,Trees,
8.3.2.5,,External Works,Soft Landscaping planting and Irrigation Systems,External Planting,Woodland Planting,,,
8.3.2.5.1,,External Works,Soft Landscaping planting and Irrigation Systems,External Planting,Woodland Planting,,Woodland Planting,
8.3.2.6,,External Works,Soft Landscaping planting and Irrigation Systems,External Planting,Tree Surgery Thinning and Pruning,,,
8.3.2.6.1,,External Works,Soft Landscaping planting and Irrigation Systems,External Planting,Tree Surgery Thinning and Pruning,,Tree Surgery Thinning and Pruning,
8.3.2.7,,External Works,Soft Landscaping planting and Irrigation Systems,External Planting,Maintenance Work to Plants and Shrubs and Planting Beds,,,
8.3.2.7.1,,External Works,Soft Landscaping planting and Irrigation Systems,External Planting,Maintenance Work to Plants and Shrubs and Planting Beds,,Maintenance Work to Plants and Shrubs and Planting Beds,
8.3.2.8,,External Works,Soft Landscaping planting and Irrigation Systems,External Planting,Maintenance Work to Trees,,,
8.3.2.8.1,,External Works,Soft Landscaping planting and Irrigation Systems,External Planting,Maintenance Work to Trees,,Maintenance Work to Trees,
8.3.2.9,,External Works,Soft Landscaping planting and Irrigation Systems,External Planting,Maintenance Work to Hedges,,,
8.3.2.9.1,,External Works,Soft Landscaping planting and Irrigation Systems,External Planting,Maintenance Work to Hedges,,Maintenance Work to Hedges,
8.3.3,,External Works,Soft Landscaping planting and Irrigation Systems,Irrigation Systems,,,,
8.3.3.1,,External Works,Soft Landscaping planting and Irrigation Systems,Irrigation Systems,Irrigation Systems,,,
8.3.3.1.1,,External Works,Soft Landscaping planting and Irrigation Systems,Irrigation Systems,Irrigation Systems,,Irrigation Systems,
8.3.3.2,,External Works,Soft Landscaping planting and Irrigation Systems,Irrigation Systems,Testing of Installations,,,
8.3.3.2.1,,External Works,Soft Landscaping planting and Irrigation Systems,Irrigation Systems,Testing of Installations,,Testing of Installations,
8.3.3.3,,External Works,Soft Landscaping planting and Irrigation Systems,Irrigation Systems,Commissioning of Installations,,,
8.3.3.3.1,,External Works,Soft Landscaping planting and Irrigation Systems,Irrigation Systems,Commissioning of Installations,,Commissioning of Installations,
8.4,,External Works,Fencing Railings and Walls,,,,,
8.4.1,,External Works,Fencing Railings and Walls,Fencing and Railings,,,,
8.4.1.1,,External Works,Fencing Railings and Walls,Fencing and Railings,Fencing,,,
8.4.1.1.1,,External Works,Fencing Railings and Walls,Fencing and Railings,Fencing,,Fencing,
8.4.1.2,,External Works,Fencing Railings and Walls,Fencing and Railings,Railings,,,
8.4.1.2.1,,External Works,Fencing Railings and Walls,Fencing and Railings,Railings,,Railings,
8.4.1.3,,External Works,Fencing Railings and Walls,Fencing and Railings,Gates,,,
8.4.1.3.1,,External Works,Fencing Railings and Walls,Fencing and Railings,Gates,,Gates,
8.4.2,,External Works,Fencing Railings and Walls,Walls and Screens,,,,
8.4.2.1,,External Works,Fencing Railings and Walls,Walls and Screens,Walls,,,
8.4.2.1.1,,External Works,Fencing Railings and Walls,Walls and Screens,Walls,,Walls,
8.4.2.2,,External Works,Fencing Railings and Walls,Walls and Screens,Screens,,,
8.4.2.2.1,,External Works,Fencing Railings and Walls,Walls and Screens,Screens,,Screens,
8.4.2.3,,External Works,Fencing Railings and Walls,Walls and Screens,Gates,,,
8.4.2.3.1,,External Works,Fencing Railings and Walls,Walls and Screens,Gates,,Gates,
8.4.3,,External Works,Fencing Railings and Walls,Retaining Walls,,,,
8.4.3.1,,External Works,Fencing Railings and Walls,Retaining Walls,Retaining Walls,,,
8.4.3.1.1,,External Works,Fencing Railings and Walls,Retaining Walls,Retaining Walls,,Retaining Walls,
8.4.4,,External Works,Fencing Railings and Walls,Barriers and Guardrails,,,,
8.4.4.1,,External Works,Fencing Railings and Walls,Barriers and Guardrails,Vehicle Restraint Systems,,,
8.4.4.1.1,,External Works,Fencing Railings and Walls,Barriers and Guardrails,Vehicle Restraint Systems,,Vehicle Restraint Systems,
8.4.4.2,,External Works,Fencing Railings and Walls,Barriers and Guardrails,Pedestrian restraint Systems,,,
8.4.4.2.1,,External Works,Fencing Railings and Walls,Barriers and Guardrails,Pedestrian restraint Systems,,Pedestrian restraint Systems,
8.4.4.3,,External Works,Fencing Railings and Walls,Barriers and Guardrails,Vehicle and Pedestrian Control Barriers and Gates,,,
8.4.4.3.1,,External Works,Fencing Railings and Walls,Barriers and Guardrails,Vehicle and Pedestrian Control Barriers and Gates,,Vehicle and Pedestrian Control Barriers and Gates,
8.5,,External Works,External Fixtures,,,,,
8.5.1,,External Works,External Fixtures,Site Street Furniture and Equipment,,,,
8.5.1.1,,External Works,External Fixtures,Site Street Furniture and Equipment,Component,,,
8.5.1.1.1,,External Works,External Fixtures,Site Street Furniture and Equipment,Component,,Component,
8.5.2,,External Works,External Fixtures,Ornamental Features,,,,
8.5.2.1,,External Works,External Fixtures,Ornamental Features,Water Features,,,
8.5.2.1.1,,External Works,External Fixtures,Ornamental Features,Water Features,,Water Features,
8.5.2.2,,External Works,External Fixtures,Ornamental Features,Other Features,,,
8.5.2.2.1,,External Works,External Fixtures,Ornamental Features,Other Features,,Other Features,
8.6,,External Works,External Drainage,,,,,
8.6.1,,External Works,External Drainage,Surface Water and Foul Drainage,,,,
8.6.1.1,,External Works,External Drainage,Surface Water and Foul Drainage,Connections to Statutory Undertakers Sewers,,,
8.6.1.1.1,,External Works,External Drainage,Surface Water and Foul Drainage,Connections to Statutory Undertakers Sewers,,Connections to Statutory Undertakers Sewers,
8.6.1.2,,External Works,External Drainage,Surface Water and Foul Drainage,Drainage Runs Below Ground,,,
8.6.1.2.1,,External Works,External Drainage,Surface Water and Foul Drainage,Drainage Runs Below Ground,,Drainage Runs Below Ground,
8.6.1.3,,External Works,External Drainage,Surface Water and Foul Drainage,Drainage Runs Above Ground,,,
8.6.1.3.1,,External Works,External Drainage,Surface Water and Foul Drainage,Drainage Runs Above Ground,,Drainage Runs Above Ground,
8.6.1.4,,External Works,External Drainage,Surface Water and Foul Drainage,Prefabricated Channels,,,
8.6.1.4.1,,External Works,External Drainage,Surface Water and Foul Drainage,Prefabricated Channels,,Prefabricated Channels,
8.6.1.5,,External Works,External Drainage,Surface Water and Foul Drainage,Manholes and The Like,,,
8.6.1.5.1,,External Works,External Drainage,Surface Water and Foul Drainage,Manholes and The Like,,Manholes and The Like,
8.6.1.6,,External Works,External Drainage,Surface Water and Foul Drainage,Alterations to Existing External Drainage Systems,,,
8.6.1.6.1,,External Works,External Drainage,Surface Water and Foul Drainage,Alterations to Existing External Drainage Systems,,Alterations to Existing External Drainage Systems,
8.6.1.7,,External Works,External Drainage,Surface Water and Foul Drainage,Work to Existing Manholes,,,
8.6.1.7.1,,External Works,External Drainage,Surface Water and Foul Drainage,Work to Existing Manholes,,Work to Existing Manholes,
8.6.1.8,,External Works,External Drainage,Surface Water and Foul Drainage,Clearing Existing Drains,,,
8.6.1.8.1,,External Works,External Drainage,Surface Water and Foul Drainage,Clearing Existing Drains,,Clearing Existing Drains,
8.6.1.9,,External Works,External Drainage,Surface Water and Foul Drainage,Sealing Redundant Drains,,,
8.6.1.9.1,,External Works,External Drainage,Surface Water and Foul Drainage,Sealing Redundant Drains,,Sealing Redundant Drains,
8.6.2,,External Works,External Drainage,Ancillary Drainage Systems,,,,
8.6.2.1,,External Works,External Drainage,Ancillary Drainage Systems,Pumping Stations,,,
8.6.2.1.1,,External Works,External Drainage,Ancillary Drainage Systems,Pumping Stations,,Pumping Stations,
8.6.2.2,,External Works,External Drainage,Ancillary Drainage Systems,Ejector Stations,,,
8.6.2.2.1,,External Works,External Drainage,Ancillary Drainage Systems,Ejector Stations,,Ejector Stations,
8.6.2.3,,External Works,External Drainage,Ancillary Drainage Systems,Storage Retention Tanks and Vessels,,,
8.6.2.3.1,,External Works,External Drainage,Ancillary Drainage Systems,Storage Retention Tanks and Vessels,,Storage Retention Tanks and Vessels,
8.6.2.4,,External Works,External Drainage,Ancillary Drainage Systems,Sewage Treatment Systems,,,
8.6.2.4.1,,External Works,External Drainage,Ancillary Drainage Systems,Sewage Treatment Systems,,Sewage Treatment Systems,
8.6.2.5,,External Works,External Drainage,Ancillary Drainage Systems,Enzyme Systems,,,
8.6.2.5.1,,External Works,External Drainage,Ancillary Drainage Systems,Enzyme Systems,,Enzyme Systems,
8.6.2.6,,External Works,External Drainage,Ancillary Drainage Systems,Sustainable Urban Drainage Schemes,,,
8.6.2.6.1,,External Works,External Drainage,Ancillary Drainage Systems,Sustainable Urban Drainage Schemes,,Sustainable Urban Drainage Schemes,
8.6.2.7,,External Works,External Drainage,Ancillary Drainage Systems,Testing of Installations,,,
8.6.2.7.1,,External Works,External Drainage,Ancillary Drainage Systems,Testing of Installations,,Testing of Installations,
8.6.2.8,,External Works,External Drainage,Ancillary Drainage Systems,Commissioning of Installations,,,
8.6.2.8.1,,External Works,External Drainage,Ancillary Drainage Systems,Commissioning of Installations,,Commissioning of Installations,
8.6.3,,External Works,External Drainage,External Chemical Toxic and Industrial Liquid Waste Drainage,,,,
8.6.3.1,,External Works,External Drainage,External Chemical Toxic and Industrial Liquid Waste Drainage,Drainage Runs Below Ground,,,
8.6.3.1.1,,External Works,External Drainage,External Chemical Toxic and Industrial Liquid Waste Drainage,Drainage Runs Below Ground,,Drainage Runs Below Ground,
8.6.3.2,,External Works,External Drainage,External Chemical Toxic and Industrial Liquid Waste Drainage,Drainage Runs Above Ground,,,
8.6.3.2.1,,External Works,External Drainage,External Chemical Toxic and Industrial Liquid Waste Drainage,Drainage Runs Above Ground,,Drainage Runs Above Ground,
8.6.3.3,,External Works,External Drainage,External Chemical Toxic and Industrial Liquid Waste Drainage,Equipment and Plant,,,
8.6.3.3.1,,External Works,External Drainage,External Chemical Toxic and Industrial Liquid Waste Drainage,Equipment and Plant,,Equipment and Plant,
8.6.3.4,,External Works,External Drainage,External Chemical Toxic and Industrial Liquid Waste Drainage,Testing of Installations,,,
8.6.3.4.1,,External Works,External Drainage,External Chemical Toxic and Industrial Liquid Waste Drainage,Testing of Installations,,Testing of Installations,
8.6.3.5,,External Works,External Drainage,External Chemical Toxic and Industrial Liquid Waste Drainage,Commissioning of Installations,,,
8.6.3.5.1,,External Works,External Drainage,External Chemical Toxic and Industrial Liquid Waste Drainage,Commissioning of Installations,,Commissioning of Installations,
8.6.4,,External Works,External Drainage,Land Drainage,,,,
8.6.4.1,,External Works,External Drainage,Land Drainage,Drainage Runs Below Ground,,,
8.6.4.1.1,,External Works,External Drainage,Land Drainage,Drainage Runs Below Ground,,Drainage Runs Below Ground,
8.6.4.2,,External Works,External Drainage,Land Drainage,Manholes and The Like,,,
8.6.4.2.1,,External Works,External Drainage,Land Drainage,Manholes and The Like,,Manholes and The Like,
8.6.4.3,,External Works,External Drainage,Land Drainage,Drainage Blankets,,,
8.6.4.3.1,,External Works,External Drainage,Land Drainage,Drainage Blankets,,Drainage Blankets,
8.6.4.4,,External Works,External Drainage,Land Drainage,Land Drainage to Parkland,,,
8.6.4.4.1,,External Works,External Drainage,Land Drainage,Land Drainage to Parkland,,Land Drainage to Parkland,
8.6.4.5,,External Works,External Drainage,Land Drainage,Testing of Installations,,,
8.6.4.5.1,,External Works,External Drainage,Land Drainage,Testing of Installations,,Testing of Installations,
8.6.4.6,,External Works,External Drainage,Land Drainage,Commissioning of Installations,,,
8.6.4.6.1,,External Works,External Drainage,Land Drainage,Commissioning of Installations,,Commissioning of Installations,
8.7,,External Works,External Services,,,,,
8.7.1,,External Works,External Services,Water Mains Supply,,,,
8.7.1.1,,External Works,External Services,Water Mains Supply,Connections to Statutory Undertakers Water Main,,,
8.7.1.1.1,,External Works,External Services,Water Mains Supply,Connections to Statutory Undertakers Water Main,,Connections to Statutory Undertakers Water Main,
8.7.1.2,,External Works,External Services,Water Mains Supply,Connections to External Plant and Equipment,,,
8.7.1.2.1,,External Works,External Services,Water Mains Supply,Connections to External Plant and Equipment,,Connections to External Plant and Equipment,
8.7.1.3,,External Works,External Services,Water Mains Supply,Service Runs,,,
8.7.1.3.1,,External Works,External Services,Water Mains Supply,Service Runs,,Service Runs,
8.7.1.4,,External Works,External Services,Water Mains Supply,Rainwater Harvesting Systems,,,
8.7.1.4.1,,External Works,External Services,Water Mains Supply,Rainwater Harvesting Systems,,Rainwater Harvesting Systems,
8.7.1.5,,External Works,External Services,Water Mains Supply,Grey Water Systems,,,
8.7.1.5.1,,External Works,External Services,Water Mains Supply,Grey Water Systems,,Grey Water Systems,
8.7.1.6,,External Works,External Services,Water Mains Supply,Testing of Installations,,,
8.7.1.6.1,,External Works,External Services,Water Mains Supply,Testing of Installations,,Testing of Installations,
8.7.1.7,,External Works,External Services,Water Mains Supply,Commissioning of Installations,,,
8.7.1.7.1,,External Works,External Services,Water Mains Supply,Commissioning of Installations,,Commissioning of Installations,
8.7.10,,External Works,External Services,Local District Heating Installations,,,,
8.7.10.1,,External Works,External Services,Local District Heating Installations,Heat Source Associated Plant and Equipment,,,
8.7.10.1.1,,External Works,External Services,Local District Heating Installations,Heat Source Associated Plant and Equipment,,Heat Source Associated Plant and Equipment,
8.7.10.2,,External Works,External Services,Local District Heating Installations,Service Runs,,,
8.7.10.2.1,,External Works,External Services,Local District Heating Installations,Service Runs,,Service Runs,
8.7.10.3,,External Works,External Services,Local District Heating Installations,External Heating Ducts and Ducts Access Covers,,,
8.7.10.3.1,,External Works,External Services,Local District Heating Installations,External Heating Ducts and Ducts Access Covers,,External Heating Ducts and Ducts Access Covers,
8.7.10.4,,External Works,External Services,Local District Heating Installations,Testing of Installations,,,
8.7.10.4.1,,External Works,External Services,Local District Heating Installations,Testing of Installations,,Testing of Installations,
8.7.10.5,,External Works,External Services,Local District Heating Installations,Commissioning of Installations,,,
8.7.10.5.1,,External Works,External Services,Local District Heating Installations,Commissioning of Installations,,Commissioning of Installations,
8.7.11,,External Works,External Services,Builders Work in Connection With External Services,,,,
8.7.11.1,,External Works,External Services,Builders Work in Connection With External Services,Ducts and The Like,,,
8.7.11.1.1,,External Works,External Services,Builders Work in Connection With External Services,Ducts and The Like,,Ducts and The Like,
8.7.11.2,,External Works,External Services,Builders Work in Connection With External Services,Support to External Storage Tanks Vessels,,,
8.7.11.2.1,,External Works,External Services,Builders Work in Connection With External Services,Support to External Storage Tanks Vessels,,Support to External Storage Tanks Vessels,
8.7.11.3,,External Works,External Services,Builders Work in Connection With External Services,Fuel Bunds and The Like to Storage Retention Tanks and Vessels,,,
8.7.11.3.1,,External Works,External Services,Builders Work in Connection With External Services,Fuel Bunds and The Like to Storage Retention Tanks and Vessels,,Fuel Bunds and The Like to Storage Retention Tanks and Vessels,
8.7.11.4,,External Works,External Services,Builders Work in Connection With External Services,Protective Compounds Fencing Storage Racks Associated With LPG Installations,,,
8.7.11.4.1,,External Works,External Services,Builders Work in Connection With External Services,Protective Compounds Fencing Storage Racks Associated With LPG Installations,,Protective Compounds Fencing Storage Racks Associated With LPG Installations,
8.7.11.5,,External Works,External Services,Builders Work in Connection With External Services,Protective Compounds Connected With Transformer Sub-Stations,,,
8.7.11.5.1,,External Works,External Services,Builders Work in Connection With External Services,Protective Compounds Connected With Transformer Sub-Stations,,Protective Compounds Connected With Transformer Sub-Stations,
8.7.11.6,,External Works,External Services,Builders Work in Connection With External Services,Bases for Services Equipment,,,
8.7.11.6.1,,External Works,External Services,Builders Work in Connection With External Services,Bases for Services Equipment,,Bases for Services Equipment,
8.7.11.7,,External Works,External Services,Builders Work in Connection With External Services,Other Builders Work in Connection With External Services,,,
8.7.11.7.1,,External Works,External Services,Builders Work in Connection With External Services,Other Builders Work in Connection With External Services,,Other Builders Work in Connection With External Services,
8.7.11.8,,External Works,External Services,Builders Work in Connection With External Services,Testing of Installations,,,
8.7.11.8.1,,External Works,External Services,Builders Work in Connection With External Services,Testing of Installations,,Testing of Installations,
8.7.11.9,,External Works,External Services,Builders Work in Connection With External Services,Commissioning of Installations,,,
8.7.11.9.1,,External Works,External Services,Builders Work in Connection With External Services,Commissioning of Installations,,Commissioning of Installations,
8.7.2,,External Works,External Services,Electricity Mains Supply,,,,
8.7.2.1,,External Works,External Services,Electricity Mains Supply,Connections to Statutory Undertakers Electricity Main,,,
